1.5545	Most refugees were women, children, elderly, or disabled.	大多数难民是妇女、儿童、老人或残疾人。
1.0206	On 4 September 2014, a NATO officer said that several thousand regular Russian forces wereoperating in Ukraine.	同年4月4日，立陶宛宣布降低与俄罗斯的外交级别和驱逐俄罗斯特使，以及关闭俄罗斯驻克莱佩达的领事馆，作为回应俄罗斯对乌克兰展开了长达40天的军事进攻。
1.0206	On 9 July 2022, U.S. Secretary of State Antony Blinken dismissed China's claims to be neutral in the Russo-Ukrainian War and accused China of supporting Russia.	2023年2月18日，美国国务卿安东尼·布林肯表示中国正积极考虑向俄罗斯提供武器弹药。
1.0205	Yashin was tried over a YouTube video released in April 2022 in which he discussed the discovery of murdered Ukrainian civilians in the suburban town of Bucha, near Kyiv.	4月6日，一段经《纽约时报》核实的视频显示，乌克兰军队在基辅以西的一条公路上从背后近距离开枪打死一名受伤且无法动弹的的俄罗斯士兵，其周边死者大多双手反绑身后，胳膊上缠有白色布条。
1.0204	These included the Donetsk People's Republic and the Luhansk People's Republic in Russian occupied Donetsk and Luhansk oblasts of Ukraine, as well as the Russian-appointed military administrations of Kherson Oblast and Zaporizhzhia Oblast.	同时俄罗斯暗中支持并且提供军事援助予乌克兰东部两个亲俄分离主义政权（卢甘斯克人民共和国及顿涅茨克人民共和国），导致乌克兰政府军和两个亲俄分离主义政权在顿巴斯地区爆发局部战争，史称顿巴斯战争。
1.0204	Some are LGBTQ+.	部分幸存者成功自救，他们正在作证。
1.0204	On 23 February, the Rada adopted a bill to repeal the 2012 law which gave the Russian language an official status.	2012年，亲俄总统维克托·亚努科维奇颁布语言政策法，在部分地区保证俄语官方地位。
1.0201	The foreign ministries of France, the United Kingdom and the United States rejected "Russia's transparently false allegations".	俄罗斯驻英国大使馆的贴文受到英国政府的强烈指责。
1.0201	List of wars: 2003–present	2014—2015年：战争阶段
1.0200	On 25 March, the Russian Defence Ministry stated that the first stage of the "military operation" in Ukraine was "generally complete", that the Ukrainian military forces had suffered serious losses, and the Russian military would now concentrate on the "liberation of Donbas."	在武器支援方面，欧盟27国集团于2月27日宣布动用“欧洲和平基金”的几乎所有预算，向乌克兰提供5亿欧元军事援助，其中4.5亿用于购买武器，为欧盟史上首例行动。
1.0198	In February 2023, Russian journalistMaria Ponomarenko was sentenced to six years in prison for publishing information about the Mariupol theatre airstrike.	2023年5月下旬，俄罗斯媒体多次虚假引用消息指向乌克兰高级将领死亡或受伤，如基里洛·布达诺夫、瓦列里·扎卢日内。
1.0197	Several media outlets believe that Chinese media undertook selective reporting.	尽管舆论分歧，不少报导都认为“挺俄”言论占据了中国大陆的舆论主流。
1.0195	In May 2023, the U.S. accused South Africa of supplying arms to Russia in a covert naval operation, allegations which have been denied by South African president Cyril Ramaphosa.	2023年4月19日，中国商务部否认相关指控，并指责美国附和少数西方媒体散布虚假信息，对中国企业造谣抹黑。
1.0192	The Wall Street Journal reported that to advance its own interests, Russia has repeatedly leaked information without Chinese knowledge or ahead of China's announcements and decisions.	4月6日，纽约时报认为，中国存在引导民间舆论支持俄罗斯的现象，但可能只是为自身利益而放大敌对西方的情绪。
1.0191	Ukraine described the crisis nuclear terrorism by Russia.	联合国将其描述为二战以来发展最快的此类危机。
1.0191	After the end of the twin Ukrainian counteroffensives, the fighting shifted to a semi-deadlock during the winter, with heavy casualties but reduced motion of the frontline.	在发动入侵的三周后，俄罗斯军队在南部取得更多战果，其他地方的俄军则陷入消耗战，平民伤亡不断增加。
1.0190	It concluded with no immediate agreements.	该决议没有法律约束力。
1.0188	Our western partners have given us about 10% of what they have."	我们正在等待一些国家的答复”。
1.0188	For instance, as of 8 April, Russia claimed to have evacuated about 121,000 Mariupol residents to Russia.	7月15日，俄罗斯宣布禁止384名日本议员入境。
1.0186	This claim was investigated by the BBC's Moscow Department, which concluded there was no evidence the video had been staged.	但这项说法与事实不符，英国BBC事实核查指出，在3月2日，该医院的Facebook页面转发了一个呼吁捐赠燃料以继续运营的呼吁。
1.0184	On 2 March, Ukrainian forces initiated a counter-offensive on Horlivka, controlled by the DPR.After renewed missile attacks on 14 March in Mariupol, the Ukrainian government said more than 2,500 had died.	乌克兰军队则收复基辅地区，4月2日在布恰发现大量在俄军占领期间被屠杀的平民尸体，是为布恰大屠杀。
1.0182	The same day, a pair of Ukrainian Su-27s conducted a high-speed, low level bombing run on Russian-occupied Snake Island; the attack was captured on film by a Baykar Bayraktar TB2 drone.	闪电便携式防空导弹于2月27日已经抵达乌克兰。
1.0177	Putin's claims were repeated by Russian Foreign Minister Sergey Lavrov in a speech to the UN Human Rights Council; many diplomats walked out in protest.	会后俄罗斯外长拉夫罗夫告诉记者，非洲代表在会谈中提到关于政治解决乌克兰危机的中国立场中的部分内容，俄方对这些内容表示赞同。
1.0175	On 30 May, Reuters reported that Russian troops had breached the outskirts of Sievierodonetsk.	7月30日，俄罗斯天然气工业股份公司宣布停止向拉脱维亚供气。
1.0175	Putin espoused irredentist views challenging Ukraine's right to exist, and falsely claimed that Ukraine was governed by neo-Nazis persecuting the Russian minority.	普京称是苏联的民族政策导致俄罗斯领土被切割，是列宁缔造了现代乌克兰，批评当年苏共直接将顿巴斯“塞给”乌克兰的举动。
1.0175	According to a former fighter, the percentage of neo-Nazi members had already dropped in 2015, when they were about 10–20%, while Jews, Georgians, and Tatars also slowly joined the legion.	联合国人权事务高级专员办事处在2015和2016年报告中指出，“亚速营”和“顿巴斯营”（后遭乌克兰解散）的8-10名成员在东乌武装冲突时涉嫌参与包括抢劫、非法拘禁、强奸以及酷刑在内的罪行。
1.0174	Ukraine's Azov Brigade, which had far-right origins and included neo-Nazis, was a focus of Kremlin propaganda.	袁莉在《纽约时报》称有新纳粹同情者的“亚速营”在乌克兰及其军队一直处于边缘地位，不能代表全乌克兰。
1.0174	On 27 February, an interim government was established and early presidential elections were scheduled.	随后议会组成临时政府。
1.0173	In the words of Miriam Berger for The Washington Post, "the rhetoric of the 'fight against fascism' resonates deeply in Russia, which suffered huge losses in the fight against Nazi Germany".	“有关信息空间中关于俄罗斯深入全面战争的信息太多了，而最近几天传播的大部分信息都是恐慌，而我们国家的恐慌是敌人最好的朋友。”
1.0173	Following the Russian invasion of Ukraine, China's position has been ambivalent.	乌克兰暂时相信，中国在乌克兰问题上正跟俄罗斯疏远，乌克兰满意这个立场。
1.0172	After the Russian occupation of Crimea began in 2014, Putin claimed that the Revolution of Dignity had created a new political entity and any prior agreement with Ukraine was therefore void.	这场由俄罗斯总统普京宣布进行“特别军事行动”后对乌克兰发动的全面侵略战争标志着始于2014年的俄乌战争重大升级，由低强度冲突升级为正式军事交锋。
1.0169	In the destroyed city of Mariupol alone, Ukrainian officials believe that at least 25,000 have been killed, and bodies were still being discovered in September 2022.	西BBC报导，至2022年4月7日，基辅以西50公里的马卡里夫（Makariv）发现132位平民遭俄军杀害，陈尸大街和埋在乱葬坑。
1.0168	By 13 May, a Ukraine counter-offensive had driven back Russian forces near Kharkiv.	2023年6月13日，俄罗斯轰炸了乌克兰中部城市，乌克兰总统泽连斯基的故乡克里维里赫。
1.0168	Belarus has allowed Russia to use its territory to stage part of the invasion, and to launch Russian missiles into Ukraine.	伊朗则驳斥提供俄罗斯在乌克兰使用伊朗制造的无人机的指控。
1.0167	The British Ministry of Defense stated that "a whole Russian brigade was effectively annihilated."	美国军方则声称，俄罗斯没有摧毁任何海马斯系统。
1.0167	Initium Media saw this action as an attempt to sensationalize the military conflict.	就此，有中国大陆官媒呼吁民众对战争理性发言，勿做隔岸观火的低俗看客。
1.0166	The sources declined to discuss any evidence in detail except to say that the assistance stopped short of evading wholesale the sanctions "the US and its allies imposed" after Russia invaded Ukraine.	9月16日，《纽约时报》引用美国官员消息称，战争爆发至今，中国没有向俄罗斯运送武器，这迫使莫斯科向伊朗和朝鲜购买军事装备，而且中国也没有帮助俄罗斯规避阻止其进口西方先进技术的西方制裁。
1.0165	The European Commission called the allegations "Russian disinformation".	克里姆林宫称美国忽视俄罗斯的主要关切，“俄罗斯侵略乌克兰”的论调是一种炒作。
1.0165	Russian propaganda also accuses NATO of controlling Ukraine and building up military infrastructure in Ukraine to threaten Russia.	NAZK也补充说，长城汽车继续以这种方式支持俄罗斯经济，并因此赞助了对乌克兰的战争，而且该公司管理层也没有试图谴责俄罗斯入侵乌克兰。
1.0164	According to Ukrainian authorities, 50 Ukrainian soldiers were killed in 2020.	《卫报》认为，这里普京指的是2021年乌克兰对2014年顿巴斯战争中牺牲的战士进行掘墓。
1.0164	After the invasion began, Russian state media falsely claimed that some military units fighting for Ukraine were under NATO command, and that thousands of NATO soldiers had been killed.	值得一提的是，乌俄战争开始后，由亲克林姆林宫成立的查实核查网站WarOnFakes重复了俄方论点，例如指该医院的空袭是乌克兰指导的假旗行动，并发数张图片佐证。
1.0162	On 18 May 2023, The New York Times reported that Ukrainian forces had launched a local counteroffensive, taking back swathes of territory to the north and south of Bakhmut over the course of a few days.	2023年4月28日，乌克兰紧急服务部门称，俄罗斯数月来对该国多个城市发动的最大规模空袭，击中远离前线的乌克兰中部城市乌曼的一栋居民楼，已造成至少23人死亡，其中包括3名儿童。
1.0162	She cursed the Russian army which she deemed was responsible for shelling her house.	她还认为，自己作为俄罗斯的宣传形象，有权给普京打电话——为什么发动战争。
1.0160	On 22 September 2022, the "conscript base" of the 2022 Russian mobilisation from the hacker group Anonymous began to spread in Ukrainian Telegram channels.	·2022年11月14日，俄罗斯卫星通讯社日语版的Twitter声称“中国志愿者的出现在俄罗斯联军一侧得到确认。
1.0160	In 2009, Yanukovych announced his intent to again run for president in the 2010 Ukrainian presidential election, which he subsequently won.	7月，俄罗斯再次更改对乌克兰的战略目标，其外交部宣称首要目标是推翻乌克兰总统泽连斯基领导的乌克兰政府。
1.0160	Before the invasion, Russian troops massed near Ukraine's borders as Russian officials denied any plans to attack.	亲俄武装起初失败，乌克兰一度控制乌俄边境大部分地区。
1.0160	Vladimir Putin's spokesperson Dmitry Peskov said "we paid a lot of attention to our Chinese friends' plan", but new "territorial realities could not be ignored" as these realities became "an internal factor" (for Russia).	乌克兰政治观察家Volodymyr Fesenko对此置评“没有必要从这个声明（傅聪的声明 ）得出大的​​结论，因为这不是中国驻俄罗斯大使说的，也不是负责外交政策的王毅说的，更重要的是，习近平没有说过那样的话”。
1.0158	In his speech announcing the invasion, Putin falsely claimed that NATO military infrastructure was being built up inside Ukraine and was a threat to Russia.	泽连斯基在他的夜间影片讲话中指责俄罗斯对这次袭击负责，将其描述为对北约“集体安全”的侵犯。
1.0157	NATO and United States military response	俄罗斯国防部颁布命令要求所有志愿军和国防部签署合约
1.0157	On 31 July, CNN reported significantly intensified rocket attacks and bombing of Mykolaiv by Russians, which also killed Ukrainian grain tycoon Oleksiy Vadaturskyi.	2023年7月31日，俄罗斯轰炸了乌克兰南部城市克里维里赫的一幢居民楼，至少导致4位平民包括一位10岁儿童死亡，53人受伤。
1.0157	Russian disinformation has also attempted to promote anti-refugee sentiments in Poland and other countries dealing with the influx of mostly Ukrainian refugees from the war.	该消息号称源于波兰媒体“Myśl Polska”，该媒体一直在战争中宣传亲俄反乌观点。
1.0154	On 25 February, the Millerovo air base was attacked by Ukrainian military forces with OTR-21 Tochka missiles, which according to Ukrainian officials, destroyed several Russian Air Force planes and started a fire.	2023年2月1日，俄罗斯的导弹袭击了乌克兰东部城市克拉马托尔斯克的一栋居民楼，至少造成3人死亡，20人受伤。
1.0153	Some countries, particularly in the Global South, saw public sympathy or outright support for Russia, due in part to distrust of US foreign policy.	许多非洲国家对乌克兰可能没有任何反对意见，但西方社会在非洲糟糕的形象创造了有利于俄罗斯可以利用西方的反殖民情绪、地区不稳定和普遍失望的宣传环境，并成功地在非洲一些地区建立了自己的战争叙事。
1.0153	On 14 March, the Russian source RT reported that the Russian Armed Forces had captured about a dozen Ukrainian ships in Berdiansk, including the Polnocny-class landing ship Yuri Olefirenko.	“今日俄罗斯”4月13日报道称，“事实上，会谈后不到一周，波兰媒体就已经公开报道，泽连斯基要把乌克兰西部割让给波兰。”
1.0151	On the 15th of September 2023, a U.N.-mandated investigative body presented their findings that Russian occupiers had tortured Ukrainians so brutally that some of their victims died, and forced families to listen as they raped women next door.	2023年2月16日，斯洛伐克议会将俄罗斯列为支持恐怖主义的国家，并在声明中谴责俄罗斯对乌克兰的侵略，还谴责俄罗斯对民用设施和关键能源基础设施的大规模袭击，并且直接和间接发出威胁要使用核武器。
1.0151	By May, references to de-Nazifying Ukraine in Russian media began to wane, reportedly because it had not gained traction with the Russian public.	3月，美国当局警告中国不要替俄罗斯散布有关乌克兰战争的虚假信息。
1.0150	From 2014 to 2021, there were more than 3,000 civilian casualties, with most occurring in 2014 and 2015.	从2月24日至8月2日，加拿大已经对1150多名个人和实体实施制裁。
1.0148	The United Nations also refuted the claim.	兰德公司已二度否认有关报告。
1.0147	Russia's state-owned energy giant Gazprom had already substantially reduced the volumes of gas transited across Ukraine, and expressed its intention to reduce the level further by means of transit-diversification pipelines (Turkish Stream, Nord Stream, etc.).	NAZK对作出这一决定的原因表示，即使在俄罗斯入侵乌克兰期间，大多数欧洲、日本和韩国的汽车制造商都停止在俄罗斯市场上销售情况下，该公司依然继续在俄罗斯展示和销售其品牌的新车型，并且企图增加其在俄罗斯的销售利润，该公司管理层也没有谴责俄罗斯对乌克兰的战争。
1.0146	Many Ukrainians say that their relatives and friends in Russia trust what the state-controlled media tells them and refuse to believe that there is a war in Ukraine and that the Russian army is shelling Ukrainian cities.	有观点认为中国大陆民间舆论在战争爆发后，总体上支持俄罗斯入侵乌克兰，并认同普京的立场。
1.0145	Finland became a member of NATO in April 2023.	至2023年4月，已有破百万乌克兰难民选择陆续回国。
1.0145	Ukrainian resistance	外国志愿者协防乌克兰
1.0143	On 19 April, The New York Times confirmed that Russia had launched a renewed invasion front referred to as an "eastern assault" across a 480-kilometre (300 mi) front extending from Kharkiv to Donetsk and Luhansk, with simultaneous missile attacks again directed at Kyiv in the north and Lviv in western Ukraine.	24日清晨，普京宣布进行“特别军事行动”，兵分四路从东、南、北、东北四个方向入侵乌克兰。
1.0143	After the 2014 Ukrainian Revolution, Russian rhetoric portrayed Ukrainian governments as illegitimate, calling them the "Kyiv regime" or a "Nazi/fascist junta".	2014年亚努科维奇被推翻后，新政府取消原有语言政策，试图彻底抹杀俄语。
1.0142	Throughout, the Russian government repeatedly denied it had plans to attack Ukraine.	不过中国政府仍遭到美国、欧盟与乌克兰批评没有阻止俄罗斯的入侵。
1.0137	On 6 April, NATO secretary-general Jens Stoltenberg said that the Russian "retraction, resupply, and redeployment" of their troops from the Kyiv area should be interpreted as an expansion of Putin's plans for Ukraine, by redeploying and concentrating his forces on eastern Ukraine.	2月18日，顿涅茨克人民共和国总统杰尼斯·弗拉基米罗维奇·普希林表示，将计划安排多达70万平民撤离到俄罗斯境内。
1.0136	Russian presence was allowed by the basing and transit agreement with Ukraine.	俄罗斯与乌克兰分别签署协议，同意重新开放黑海的谷物运送路线。
1.0136	The Russians demanded surrender, and the Ukrainians refused.	中国和俄罗斯均对有关报道予以否认。
1.0135	Analysts generally agree that the Russian government greatly exaggerates far-right influence in Ukraine, as there is no widespread support for far-right ideology in the government, military, or electorate.	主要在东乌克兰的俄罗斯族希望确立俄语的官方地位来保持平等的国民政治地位，并希望乌克兰外交政策不疏远俄罗斯，而乌克兰西部居民、乌克兰亲西方势力将削弱俄罗斯文化和来自莫斯科的政治影响作为国家建设重要方针。
1.0133	The Pentagon confirmed on 6 April that the Russian army had left Chernihiv Oblast, but Sumy Oblast remained contested.	2月26日，佩斯科夫称乌方已拒绝和谈，因此俄方的军事行动将继续。
1.0130	According to the Organization for Security and Cooperation in Europe (OSCE), Russia has engaged in "massive deportation" of over 1.3 million Ukrainian civilians, potentially constituting crimes against humanity.	3月3日，联合国难民署难民事务高级专员表示，超100万乌克兰难民进入邻国。
1.0126	On the second day of the 2022 Russian invasion of Ukraine, videos and picture went viral on social media, with claims that a Ukrainian pilot nicknamed the "Ghost of Kyiv" had shot down 6 Russian fighter jets in the first 30 hours of the war.	但是有人发现了2022年2月15日俄罗斯国防部官方频道称，“周二，作为俄罗斯联邦和白俄罗斯联合演习的一部分，军事人员使用圆点U导弹系统进行了战斗发射。”
1.0124	On 8 June 2023, counteroffensive efforts focused near settlements such as Orikhiv, Tokmak, and Bakhmut.	23日，乌克兰国防部、外交部、内政部网站遭到分散式阻断服务攻击。
1.0123	Fighting in Donbas escalated significantly from 17 February 2022 onwards.	2022年伊始，局势紧张程度进一步上升。
1.0123	On 9 September, the Russian occupation administration of Kharkiv Oblast announced it would "evacuate" the civilian populations of Izium, Kupiansk and Velykyi Burluk.	6月19日，乌克兰国会通过一项法律，将禁止俄罗斯公民在乌克兰境内出版书籍，禁止进口在俄罗斯、白俄罗斯和被占领的乌克兰领土上出版的书籍，进口它国俄文的书籍则需特别申请。
1.0121	Although the Government of China has objected to economic sanctions against Russia, its companies have largely complied with them.	虽然北京表面上不支持西方的经济制裁，并宣布自己是莫斯科的“战略伙伴”，但数据显示的是另一回事。
1.0119	There will be peace – on our terms."Putin's spokesperson Dmitry Peskov and Russian Foreign Minister Sergey Lavrov said that any peace plan could only proceed from Ukraine's recognition of Russia's sovereignty over the regions it annexed from Ukraine in September 2022.	普京发言人佩斯科夫称和平方案只有在乌克兰认可俄罗斯对乌东四州有主权的情况下，才会推进。
1.0111	On 24 March 2022, 10 Russian and 10 Ukrainian soldiers, as well as 11 Russians and 19 Ukrainian civilian sailors, were exchanged.	2022年2月8日，6艘俄罗斯军舰和1艘潜艇曾穿过这些海峡进行海军演习，作为入侵乌克兰行动的一部分，这些船只于2022年2月24日在乌克兰的黑海和亚速海港口登陆。
1.0111	Three days after Johnson left Kyiv, Putin stated publicly that talks with Ukraine "had turned into a dead end".	4月7日，佩斯科夫表示，在习近平与马克龙会谈后，俄罗斯对中国是否会改变对乌克兰立场持怀疑态度。
1.0110	After a series of military defeats and setbacks for the separatists, who united under the banner of "Novorossiya", Russia dispatched what it called a "humanitarian convoy" of trucks across the border in mid-August 2014.	2014年战争爆发后，普京多次以2014年5月2日的“敖德萨惨案”为战争借口，当时亲俄武装占据敖德萨工会大楼宣布成立“敖德萨人民共和国”并企图将乌克兰敖德萨州并入俄罗斯，遭乌克兰军民围攻，亲俄分子和当地合作人士遭受严重伤亡，“敖德萨人民共和国”亦被剿灭。
1.0109	Following Russia's launch of the Nord Stream pipeline, which bypasses Ukraine, gas transit volumes steadily decreased.	它们的对俄出口也在下降。
1.0108	For years, Russian President Vladimir Putin has questioned the Ukrainian people's identity and the country's legitimacy and spread conspiratorial views of Ukrainian national identity as an "anti-Russian project" in his 2021 essay "On the Historical Unity of Russians and Ukrainians".	2000年，泰德·格兰特在《马克思主义和民族问题》中称“虽然乌克兰语与俄语非常接近，两国人民几个世纪以来拥有共同的历史（基辅最初是古代俄罗斯的首都），但乌克兰人形成了一个独立的民族，拥有自己的语言、文化和国家认同——这一事实并不总是被大俄罗斯人认识到，他们传统上将乌克兰人称为‘小俄罗斯人’”。
1.0106	Russia-Ukraine War at the Encyclopædia Britannica	俄罗斯2,000多名科学家和科学记者发表反对与乌克兰开战的公开信。
1.0106	In March 2022, Russia made unsubstantiated allegations that Ukraine was developing biological weapons in a network of labs linked to the US.	2022年2月25日，国际特赦组织称发现“无可辩驳的证据”表明俄罗斯违反国际人道主义法，俄罗斯的一些攻击行动可能构成战争罪。
1.0104	In 2002, Putin said that Ukraine's growing relations with NATO were no concern of Russia.	2023年2月2日，拉夫罗夫接受《俄罗斯卫星通讯社》专访时形容，俄罗斯与中国的关系优于传统的军事同盟，既没有限制或界限，也没有禁忌话题。
1.0103	Later in the day, Reuters reported that Russian positions in northeast Ukraine had "collapsed" in the face of the Ukrainian assault, with Russian forces forced to withdraw from their base at Izium after being cut off by the capture of Kupiansk.	3月5日傍晚，俄国防部称由于乌方无意对民族主义分子施加影响以及延长“静默状态”，俄军从基辅时间18时起恢复进攻。
1.0102	Following Russia's invasion of Ukraine, however, public attitudes towards China shifted: an opinion poll conducted in February-March 2023 by the Razumkov Centre showed that 60% of Ukrainians surveyed had a negative view of China.	3月23日，联合国安理会未能通过一项由俄罗斯提出的有关乌克兰人道主义问题的决议，中国投了赞成票，其他13个安理会成员都投了弃权票。
1.0101	Ukrainian officials blamed Russian terrorists.	俄罗斯指控乌克兰对本国的俄罗斯族实行种族灭绝。
1.0100	Russian propaganda and fake news stories have attacked Ukraine's right to exist and accused it of being a neo-Nazi state, committing genocide against Russian speakers, developing nuclear and biological weapons, and being influenced by Satanism.	BBC从乌克兰总统泽连斯基是犹太人、犹太教在乌克兰的发展的角度否认基辅政权是“新纳粹”，称“种族灭绝”是俄罗斯虚假宣传。
1.0099	Russia denied this, denying that it was a party to the conflict, adding that "they only discussed how to settle the conflict".	习近平称，中方根据乌克兰问题本身的是非曲直决定中方立场，中方支持俄方同乌方以谈判解决问题。
1.0098	The decision to invade Ukraine was reportedly made by Putin and a small group of war hawks or siloviki in Putin's inner circle, including national security adviser Nikolai Patrushev and defense minister Sergei Shoigu.	6月9日，乌克兰总统泽连斯基宣布对包括俄罗斯总统普京、总统新闻秘书佩斯科夫、总理米舒斯京、国防部长绍伊古、外交部长拉夫罗夫在内的35人实施制裁。
1.0098	On 12 October 2022, the independent Russian media project iStories, citing sources close to the Kremlin, reported that more than 90,000 Russian soldiers had been killed, seriously wounded, or gone missing in Ukraine.	2022年10月12日，位于的前线的顿涅茨克州的阿夫迪伊夫卡的中心集市被俄军轰炸，当时集市内人群密集，此次袭击至少造成7位平民死亡。
1.0098	American officials said that Russia had withdrawn or been repulsed elsewhere in Ukraine, and therefore was preparing a retraction, resupply, and redeployment of infantry and tank divisions to the southeastern Ukraine front.	20日，乌克兰空军表示乌克兰官方未收到来自合作伙伴的新飞机，但收到了来自美国的用于修复和修理机队的备件和部件。
1.0096	On 3 June, Ukrainian forces reportedly began a counter-attack in Sievierodonetsk.	2023年7月10日，俄罗斯轰炸了乌克兰南部奥里希夫的一个人道主义救援地点，造成至少7人死亡。
1.0095	On 17 July 2023, there was another large explosion on the bridge.	2022年7月1日，位于敖德萨州的塞尔希伊夫卡，一栋高层建筑和购物娱乐中心遭到俄军火箭弹袭击。
1.0095	Imaging of one of these, Olenivka prison, found two sites with disturbed earth consistent with "potential graves."	Yablonska街的图像显示，在3月9日至11日期间，至少有11个“与人体大小相似的黑暗物体”出现。
1.0094	Western and other countries imposed limited sanctions on Russia for recognising the separatist people's republics as independent nations.	该决议也提醒所有国家和国际组织，有必要称在俄罗斯在克里米亚的代表为“俄罗斯的占领国”。
1.0094	On 24 February Oksana Markarova, Ukraine's ambassador to the US, said that a platoon of 74th Guards from Kemerovo Oblast had surrendered, saying they were unaware that they had been brought to Ukraine and tasked with killing Ukrainians.	2014年2月24日，俄罗斯第31独立近卫空降突击旅摘掉所有俄军标识，对外宣称“当地安全力量”，攻占克里米亚，因其绿色迷彩装具和服装被称为“小绿人”。
1.0094	An August 2014 survey by the Levada Centre reported that only 13% of those Russians polled would support the Russian government in an open war with Ukraine.	俄罗斯《塔斯社》援引王毅的话称，王毅曾与拉夫罗夫单独会晤，称中国将“坚定坚持客观公正立场，为政治解决乌克兰危机发挥建设性作用”。
1.0092	The London-based think tank Royal United Services Institute (RUSI) assessed Russian advances from the north and east as "stalled."	俄罗斯方面提出了几个论点，指该医院已经停止了运作，并早就被右翼极端主义组织“亚速营”的武装分子占领。
1.0091	The annexation of Crimea and the war in Donbas sparked a wave of Russian nationalism and Russian fascism in Russia, with calls to annex more Ukrainian land for Novorossiya (New Russia).	全面战争的背景之一是北约的东扩以及乌克兰诉求加入北约以保护自身，乃至夺回顿巴斯和克里米亚，而俄罗斯认为乌克兰加入北约则是对自身安全的威胁。
1.0090	Red lines in the Russo-Ukrainian War	俄罗斯军队在对乌克兰的战争中损失巨大，导致士气低落。
1.0086	The U.S. sanctioned a Chinese firm for providing satellite imagery to Russian mercenary forces fighting in Ukraine.	俄罗斯决定停止向美国提供火箭发动机。
1.0084	On 7 March, despite the city's near-encirclement, The New York Times reported that Ukrainian commanders were requesting permission from Kyiv to continue fighting against the Russians in Bakhmut.	3月7日，俄罗斯国防部称10时起对基辅等城市停火，应法国总统埃马纽埃尔·马克龙请求开放“人道走廊”。
1.0083	Tracking Social Media Takedowns and Content Moderation During the 2022 Russian Invasion of Ukraine	Template:NavboxTemplate:2022年俄罗斯入侵乌克兰Template:弗拉基米尔·泽连斯基Template:Authority control2021年—2022年俄乌冲突的虚假信息介绍一些由各方政府机构或知名媒体发布的与俄乌局部战争阶段和全面战争阶段有关但被质疑不实的信息报道。
1.0083	Lydie Evrard and Massimo Aparo were also on the team.	但是，吉奥·莱罗斯和伊利亚·基瓦一样已经被最高拉达停职，原因是涉嫌贪污腐败。
1.0082	Strelkov claimed that in early August, Russian servicemen, supposedly on "vacation" from the army, began to arrive in Donbas.	最初，俄罗斯国防部宣布，俄罗斯军队在克拉马托尔斯克火车站使用“高精度空射导弹摧毁了乌克兰预备役的武器和军事装备”。
1.0081	It is Russia's largest combined arms operation since the Battle of Berlin in 1945.	俄乌边境出现二战以来欧洲最大的军事动员。
1.0081	Politico reported in March 2023 that Chinese state-owned weapons manufacturer Norinco shipped assault rifles, drone parts, and body armor to Russia between June and December 2022, with some shipments via third countries including Turkey and the United Arab Emirates.	其中提及，尽管中国科技企业大疆创新宣称自2022年4月16日以来没有直接向俄罗斯销售产品，并停止向俄罗斯和乌克兰发货，但依然发现有许多中国小型公司的无人机及其零部件正通过小型中间商和出口商继续稳步进入俄罗斯市场，然后被送到乌克兰境内的俄罗斯武装部队。
1.0080	On 6 April 2023, Oleksiy Danilov, Secretary of the National Security and Defense Council of Ukraine, said about a possible peace agreement between Russia and Ukraine, which would freeze the conflict and leave the annexed territories of Ukraine, including Crimea, in Russia's possession, that "If Ukrainian President Volodymyr Zelensky proposes peace talks between Kyiv and Moscow, he will commit political suicide."On 7 April 2023, Russian Foreign Minister Sergey Lavrov said that Russia rejects the "unipolar world order" led by the United States and wants any peace talks with Ukraine to focus on creating a "new world order."On 30 April, Pope Francis announced that the Vatican is taking part in a secret "peace mission" to try to end the war between Russia and Ukraine.	佩斯科夫指的两份文件分别是2022年2月初俄罗斯总统普京访华后签署的联合声明，当中提及俄中友谊“没有国界”，合作“没有禁区”，各方深切关注“国际安全领域面临的挑战”，反对“北约东扩”，呼吁“摒弃冷战时代的做法”，以及2023年3月，习近平来到莫斯科同俄罗斯总统举行会谈后发表的联合声明，强调两国个人关系和国家间关系的独特性，并签署了两份关于发展国家间伙伴关系的联合文件。
1.0080	In the same month, Russia's ambassador to Beijing announced that Xi Jinping would be visiting Moscow, reportedly before China was ready for an announcement.	俄罗斯总统新闻秘书佩斯科夫称俄罗斯代表团将前往明斯克与乌克兰代表团进行谈判。
1.0079	In 2017, on average one Ukrainian soldier died in combat every three days, with an estimated 6,000 Russian and 40,000 separatist troops in the region.	2023年7月6日，俄罗斯对利沃夫开展了从开战以来最大规模对平民设施的轰炸，导致至少10位平民死亡，至少36名平民受伤。
1.0079	In response, Russian forces began destroying mobile phone network equipment, searching door-to-door for smartphones and computers, and in at least one case killed a civilian who had pictures of Russian tanks.	随后，俄罗斯对赫尔松市各个居民区地点，包括大型超市、车站、加油站、居民楼等进行导弹攻击报复，至少21名平民死亡。
1.0078	In early December 2021, following Russian denials, the US released intelligence of Russian invasion plans, including satellite photographs showing Russian troops and equipment near the border.	2021年10月，俄罗斯军队无视《布达佩斯安全保障备忘录》在乌克兰边境大规模集结，聚集多达19万名士兵，引发俄乌危机，经国际多次调解无效。
